,Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
3088,3089,The Sims 3,3DS,Simulation,Electronic Arts,T,The Sims Studio,5.6
3089,3090,Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,T,Incognito Inc.,7.5
3091,3092,Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai,T,Spike,5.6
3092,3093,Need for Speed: Undercover,PSP,Racing,Electronic Arts,T,Piranha Games,5.4
3095,3096,Maximo: Ghosts to Glory,PS2,Platform,Capcom,T,Capcom,8.7
3097,3098,Donkey Kong Country 3,GBA,Platform,Nintendo,E,Rare Ltd.,7.5
3100,3101,Unlimited Saga,PS2,Role-Playing,Square Enix,T,SquareSoft,4.9
3101,3102,Pokemon Dash,DS,Racing,Nintendo,E,Ambrella,5.3
3102,3103,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega,E,Sumo Digital,7.7
3107,3108,Sonic Unleashed,PS2,Platform,Sega,E10,Sonic Team/Dimps Corporation,7.0
3110,3111,Resident Evil: Revelations,PS3,Action,Capcom,M,Capcom,7.6
3113,3114,Banjo-Kazooie: Nuts & Bolts,X360,Platform,Microsoft Game Studios,E10,Rare Ltd.,8.0
3121,3122,Band Hero,PS3,Misc,Activision,E10,Neversoft Entertainment,7.6
3122,3123,Duke Nukem Forever,PS3,Shooter,2K Games,M,Gearbox Software,4.4
3124,3125,Tony Hawk's Pro Skater 2,N64,Sports,Activision,E,Edge of Reality,8.5
3127,3128,Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios,E10,Avalanche Software,7.5
3128,3129,Just Dance 2018,NS,Music,Ubisoft,E10,Ubisoft Paris,8.0
3131,3132,PokePark 2: Wonders Beyond,Wii,Action-Adventure,Nintendo,E,Creatures Inc.,6.5
3133,3134,Mortal Kombat: Deception,XB,Fighting,Midway Games,M,Midway Games,7.4
3135,3136,Marvel vs. Capcom 2,PS2,Fighting,Capcom,T,Capcom,8.2
3137,3138,Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,E10,Bright Light Productions,6.0
3138,3139,Lost Planet 2,X360,Shooter,Capcom,T,Capcom,6.5
3142,3143,Kane & Lynch: Dead Men,X360,Shooter,Eidos Interactive,M,IO Interactive,6.8
3147,3148,Wall-E,PS2,Platform,THQ,E,Asobo Studio,7.5
3150,3151,LEGO City Undercover,PS4,Platform,Warner Bros. Interactive Entertainment,E10,TT Fusion,8.0
3151,3152,Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment,T,Game Republic,5.0
3154,3155,Drawn to Life: The Next Chapter,Wii,Puzzle,THQ,E,Planet Moon Studios,5.8
3156,3157,Fire Emblem Echoes: Shadows of Valentia,3DS,Role-Playing,Nintendo,T,Intelligent Systems,8.3
3159,3160,Rockstar Games presents Table Tennis,X360,Sports,Rockstar Games,E,Rockstar San Diego,8.1
3161,3162,WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,T,Yuke's Media Creations,7.9
3162,3163,Disney Infinity 2.0: Marvel Super Heroes,PS4,Action-Adventure,Disney Interactive Studios,E10,Avalanche Software,8.0
3163,3164,Kane & Lynch: Dead Men,PS3,Shooter,Eidos Interactive,M,IO Interactive,6.8
3168,3169,Super Street Fighter IV,X360,Fighting,Capcom,T,Capcom / Dimps Corporation,9.2
3169,3170,Zone of the Enders,PS2,Simulation,Konami,M,Konami Computer Entertainment Japan,7.5
3174,3175,Coded Arms,PSP,Shooter,Konami,T,Konami,6.1
3176,3177,FIFA 19,NS,Sports,Electronic Arts,E,EA Sports,5.9
3179,3180,Madden NFL 06,PSP,Sports,EA Sports,E,EA Tiburon,7.9
3181,3182,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Fighting,Capcom,T,Capcom,7.9
3184,3185,Tom Clancy's Rainbow Six: Vegas,PSP,Shooter,Ubisoft,T,Ubisoft Montreal,5.8
3185,3186,Final Fantasy Tactics A2: Grimoire of the Rift,DS,Role-Playing,Square Enix,E10,Square Enix,8.1
3186,3187,The Lord of the Rings: Conquest,PS3,Action,Electronic Arts,T,Pandemic Studios,5.8
3187,3188,Spectrobes,DS,Role-Playing,Disney Interactive Studios,E,Jupiter Corporation,6.2
3188,3189,Turok,X360,Shooter,Touchstone,M,Propaganda Games,6.6
3189,3190,Baldur's Gate,PC,Role-Playing,Interplay,T,BioWare,9.2
3192,3193,Mortal Kombat: Unchained,PSP,Fighting,Midway Games,M,JGI Entertainment,7.0
3195,3196,Ace Combat: Assault Horizon,PS3,Action,Namco Bandai,T,Project ACES,7.5
3196,3197,The Godfather II,PS3,Adventure,Electronic Arts,M,EA Redwood Shores,6.4
3199,3200,Sega Superstars Tennis,DS,Sports,Sega,E,Sumo Digital,6.2
3201,3202,Red Faction: Guerrilla,PS3,Shooter,THQ,M,Volition Inc.,8.6
3202,3203,The Evil Within,PC,Misc,Bethesda Softworks,M,Tango Gameworks,5.5
3204,3205,Super Street Fighter IV: Arcade Edition,PS3,Fighting,Capcom,T,Capcom / Dimps Corporation,8.1
3205,3206,X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision,M,Raven Software,7.0
3209,3210,Need for Speed (2015),XOne,Racing,Electronic Arts,T,Ghost Games,6.7
3213,3214,Tales of Vesperia,X360,Role-Playing,Namco Bandai,T,Namco Tales Studio,8.1
3214,3215,Resonance of Fate,PS3,Role-Playing,Sega,T,tri-Ace,7.5
3215,3216,Sonic Forces,NS,Platform,Sega,E10,Sonic Team,5.4
3217,3218,The Amazing Spider-Man (2012),X360,Action-Adventure,Activision,T,Beenox,6.8
3219,3220,Marvel: Ultimate Alliance 2,PS3,Role-Playing,Activision,T,Vicarious Visions,7.8
3224,3225,Brink,PS3,Shooter,Bethesda Softworks,T,Splash Damage,7.1
3227,3228,Crysis 2,PC,Shooter,Electronic Arts,M,Crytek,8.7
3234,3235,MLB 10: The Show,PS3,Sports,Sony Computer Entertainment,E,SCEA San Diego Studios,8.6
3235,3236,WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ,T,JAKKS Pacific,7.8
3238,3239,Need for Speed: Payback,XOne,Racing,Electronic Arts,T,Ghost Games,5.9
3239,3240,Croc 2,PS,Platform,Fox Interactive,E,Argonaut Games,6.5
3240,3241,NHL 11,X360,Sports,EA Sports,E10,EA Canada,8.8
3241,3242,MLB 14 The Show,PS4,Sports,Sony Computer Entertainment,E,SCE San Diego Studio,8.3
3245,3246,Madden NFL 11,Wii,Sports,EA Sports,E,EA Tiburon,6.8
3247,3248,NCAA Football 07,X360,Sports,Electronic Arts,E,Electronic Arts,8.0
3250,3251,Star Ocean: The Last Hope International,PS3,Role-Playing,Square Enix,T,tri-Ace,8.1
3251,3252,Katamari Damacy,PS2,Puzzle,Namco,E,Namco,8.5
3257,3258,James Bond 007: Agent Under Fire,GC,Shooter,Electronic Arts,T,EA Redwood Shores,7.5
3258,3259,Indiana Jones and the Staff of Kings,Wii,Action,LucasArts,T,Artificial Mind and Movement,5.1
3262,3263,XCOM: Enemy Unknown,PC,Strategy,2K Games,M,Firaxis Games,9.0
3263,3264,Monster Hunter Generations Ultimate,NS,Action,Capcom,T,Capcom,7.7
3265,3266,Rabbids Go Home,DS,Platform,Ubisoft,E,Ubisoft Montpellier,8.8
3271,3272,MLB 09: The Show,PS3,Sports,Sony Computer Entertainment,E,SCE San Diego Studio,8.9
3273,3274,Tiger Woods PGA Tour 07,PS2,Sports,EA Sports,E,EA Redwood Shores,7.8
3276,3277,Yakuza 2,PS2,Adventure,Sega,M,Sega,7.9
3277,3278,Kirby: Canvas Curse,DS,Platform,Nintendo,E,HAL Laboratory,8.9
3279,3280,Madden NFL 10,Wii,Sports,EA Sports,E,EA Tiburon,7.5
3286,3287,Blur,PS3,Racing,Activision,E10,Bizarre Creations,8.3
3288,3289,James Cameron's Avatar: The Game,Wii,Action,Ubisoft,T,Ubisoft Montreal,5.9
3289,3290,Battlefield: Bad Company 2,PC,Shooter,Electronic Arts,M,EA Digital Illusions CE,8.8
3292,3293,F1 2011,X360,Racing,Codemasters,E,Codemasters Birmingham,8.5
3293,3294,Mx vs. ATV Reflex,X360,Racing,THQ,E,Rainbow Studios,7.4
3300,3301,Mortal Kombat (2011),PSV,Fighting,Warner Bros. Interactive Entertainment,M,NetherRealm Studios,8.8
3301,3302,DiRT 3,X360,Racing,Codemasters,T,Codemasters,9.1
3303,3304,Virtua Fighter 4: Evolution,PS2,Fighting,Sega,T,Sega-AM2,8.9
3304,3305,Risen 2: Dark Waters,PC,Role-Playing,Deep Silver,M,Piranha Bytes,6.6
3307,3308,Astro Bot Rescue Mission,PS4,Platform,Sony Interactive Entertainment,E10,SIE Japan Studio,8.5
3310,3311,Godzilla: Destroy All Monsters Melee,GC,Fighting,Atari,T,"Pipeworks Software, Inc.",7.5
3312,3313,Conker: Live And Reloaded,XB,Action-Adventure,Microsoft Game Studios,M,Rare Ltd.,8.1
3313,3314,Silent Hill 3,PS2,Adventure,Konami,M,Team Silent,8.4
3314,3315,God of War: Origins Collection,PS3,Action,Sony Computer Entertainment,M,Ready at Dawn,8.6
3315,3316,Yu-Gi-Oh! The Falsebound Kingdom,GC,Strategy,Konami,E,Konami,4.4
3316,3317,The LEGO Movie Videogame,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,E10,TT Fusion,6.0
3317,3318,Madden NFL 08,PSP,Sports,EA Sports,E,EA Tiburon,7.3
3318,3319,Spyro: Enter the Dragonfly,GC,Platform,VU Games,E,Equinoxe,5.0
3321,3322,Blast Corps,N64,Action,Nintendo,E,Rare Ltd.,9.1
3325,3326,Madden NFL 09,PSP,Sports,EA Sports,E,EA Tiburon,6.9
3328,3329,DEFCON: Everybody Dies,PC,Strategy,Encore,T,Introversion,8.2
3332,3333,LEGO Harry Potter: Years 1-4,PSP,Adventure,Warner Bros. Interactive,E10,Traveller's Tales,7.5
3335,3336,South Park,PS,Shooter,Acclaim Entertainment,M,Appaloosa Interactive,1.7
3336,3337,Catherine,PS3,Puzzle,Atlus,M,Atlus,7.9
3338,3339,Doom 3: Resurrection of Evil,XB,Shooter,Activision,M,Nerve Software,8.2
3339,3340,Plants vs Zombies: Garden Warfare,XOne,Shooter,Electronic Arts,E10,PopCap Games,7.6
3342,3343,Resident Evil 4,PC,Action,Ubisoft,M,SourceNext,8.0
3345,3346,Spider-Man 2,PSP,Action,Activision,T,Vicarious Visions,6.4
3347,3348,Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,T,Capcom,7.7
3348,3349,Tony Hawk's Underground,GC,Sports,Activision,T,Neversoft Entertainment,9.0
3349,3350,Two Worlds II,PC,Role-Playing,SouthPeak Interactive,M,Reality Pump,6.9
3351,3352,FIFA Soccer 11,DS,Sports,EA Sports,E,Exient Entertainment,7.0
3360,3361,Madden NFL 2005,GC,Sports,EA Sports,E,EA Tiburon,9.2
3361,3362,Infinite Undiscovery,X360,Role-Playing,Square Enix,T,tri-Ace,6.8
3362,3363,F-14 Tomcat,GBA,Action,Majesco,E,Virtucraft,6.9
3366,3367,RIFT,PC,Role-Playing,Unknown,T,Trion Worlds,8.3
3368,3369,Jade Empire,XB,Role-Playing,Microsoft Game Studios,M,BioWare Corp.,9.0
3369,3370,Chocobo's Dungeon 2,PS,Role-Playing,Square EA,E,SquareSoft,6.2
3371,3372,NHL 12,X360,Sports,EA Sports,E10,EA Canada,8.8
3372,3373,Advance Wars,GBA,Strategy,Nintendo,E,Intelligent Systems,9.4
3374,3375,Ape Escape: On the Loose,PSP,Platform,Sony Computer Entertainment,E,SIMS,6.6
3378,3379,James Bond 007: Blood Stone,PS3,Action,Activision,T,Bizarre Creations,6.2
3380,3381,Transformers: Revenge of the Fallen,PS3,Action,Activision,T,Luxoflux Corp.,6.5
3382,3383,Mafia,PS2,Action,Gathering of Developers,M,Illusion Softworks,6.5
3384,3385,The Sims: Medieval,PC,Simulation,Electronic Arts,T,The Sims Studio,7.2
3385,3386,Monster Hunter Stories,3DS,Role-Playing,Capcom,E10,Marvelous,8.1
3386,3387,TimeSplitters 2,PS2,Shooter,Eidos Interactive,T,Free Radical Design,9.1
3387,3388,Rocksmith 2014,PC,Music,Ubisoft,T,Ubisoft San Francisco,9.0
3388,3389,Driver: San Francisco,X360,Racing,Ubisoft,T,Ubisoft Reflections,8.1
3389,3390,Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,Nintendo,E,Nintendo EAD,6.6
3390,3391,LEGO Rock Band,Wii,Misc,Warner Bros. Interactive,E10,TT Games / Harmonix Music Systems,6.8
3392,3393,Disney's Chicken Little,GBA,Platform,Buena Vista,E,A2M,7.9
3395,3396,MotionSports,X360,Sports,Ubisoft,T,Ubisoft Milan,4.1
3396,3397,Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami,T,Kojima Productions,6.9
3401,3402,Halo 2 Multiplayer Map Pack,XB,Shooter,Microsoft Game Studios,M,Bungie Studios,8.6
3402,3403,Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games,M,Midway Studios Los Angeles,8.0
3403,3404,MX vs. ATV Unleashed: On the Edge,PSP,Racing,THQ,E,Rainbow Studios,7.3
3404,3405,The Evil Within,XOne,Misc,Bethesda Softworks,M,Tango Gameworks,7.9
3406,3407,The Sly Collection,PS3,Platform,Sony Computer Entertainment,E10,Sanzaru Games,8.7
3408,3409,Terraria,X360,Action-Adventure,505 Games,T,Engine Software,7.8
3413,3414,Fortnite,NS,Shooter,Warner Bros. Interactive Entertainment,T,Epic Games,8.5
3414,3415,Dragon Ball Z: Budokai,GC,Fighting,Atari,T,Pyramid,6.8
3416,3417,Top Spin 4,PS3,Sports,2K Sports,E,2K Czech,8.2
3418,3419,Kirby's Dream Collection: Special Edition,Wii,Platform,Nintendo,E10,HAL Laboratory,8.0
3419,3420,X-Men Origins: Wolverine - Uncaged Edition,X360,Action,Activision,M,Raven Software,7.1
3422,3423,IL-2 Sturmovik: Birds of Prey,PS3,Simulation,505 Games,T,Gaijin Entertainment,8.0
3423,3424,The Lord of the Rings: The Return of the King,GC,Action,Electronic Arts,T,"Hypnos Entertainment, Inc.",8.7
3425,3426,Mario Party: The Top 100,3DS,Misc,Nintendo,E,"Nd Cube Co., Ltd.",5.0
3426,3427,Rayman Legends,NS,Platform,Ubisoft,E10,Ubisoft Montpellier,4.5
3428,3429,Baldur's Gate: Dark Alliance II,PS2,Role-Playing,Interplay,T,Black Isle Studios,7.8
3432,3433,Test Drive Unlimited 2,X360,Racing,Atari,T,Eden Studios,6.8
3433,3434,Hot Shots Golf: Open Tee 2,PSP,Sports,Sony Computer Entertainment,E,Clap Hanz,8.0
3436,3437,Rayman Legends,WiiU,Platform,Ubisoft,E10,Ubisoft Montpellier,9.5
3437,3438,The Last Remnant,X360,Role-Playing,Square Enix,M,Square Enix,6.5
3445,3446,Iron Man,PS3,Action,Sega,T,Secret Level,5.1
3451,3452,Bushido Blade 2,PS,Fighting,Square EA,T,Light Weight,7.5
3452,3453,Suikoden II,PS,Role-Playing,Konami,T,Konami,8.5
3459,3460,.hack//Mutation Part 2,PS2,Role-Playing,Bandai,T,CyberConnect2,7.5
3463,3464,NHL 13,X360,Sports,Electronic Arts,E10,EA Canada,8.2
3465,3466,Need for Speed: Shift 2 Unleashed,PS3,Racing,Electronic Arts,E10,Slightly Mad Studios,8.4
3467,3468,Spider-Man 3,PS3,Platform,Activision,T,Treyarch,6.6
3470,3471,Call of Duty: Ghosts,PC,Shooter,Activision,M,Infinity Ward,8.8
3475,3476,Contra: Legacy of War,PS,Shooter,Konami,T,Appaloosa Interactive,6.5
3477,3478,Disney Infinity,WiiU,Action-Adventure,Disney Interactive Studios,E10,Avalanche Software,7.6
3479,3480,Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,M,Blizzard Entertainment,9.0
3486,3487,The Sims 3,DS,Simulation,Electronic Arts,E10,The Sims Studio,7.5
3489,3490,Wild ARMs 2,PS,Role-Playing,Sony Computer Entertainment,E,Media.Vision,6.5
3490,3491,Unreal Tournament III,PS3,Shooter,Midway Games,M,Epic Games,8.6
3495,3496,Mass Effect,PC,Role-Playing,Electronic Arts,M,BioWare / Demiurge Studios,9.1
3499,3500,Madden NFL 10,PSP,Sports,EA Sports,E,EA Tiburon,8.0
3500,3501,Napoleon: Total War,PC,Strategy,Sega,T,The Creative Assembly,8.5
3502,3503,Blazing Angels: Squadrons of WWII,PS3,Simulation,Ubisoft,T,Ubisoft Romania,6.8
3503,3504,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Adventure,Buena Vista,E,Amaze Entertainment,6.8
3505,3506,Final Fantasy Crystal Chronicles: Ring of Fates,DS,Role-Playing,Square Enix,E10,Square Enix,7.7
3507,3508,Command & Conquer: Red Alert 3,PC,Strategy,Electronic Arts,T,EA Los Angeles,8.2
3510,3511,WWE SmackDown vs. RAW 2007,PSP,Fighting,THQ,T,Yuke's,7.8
3514,3515,NHL 13,PS3,Sports,Electronic Arts,E10,EA Canada,8.3
3518,3519,Book of Spells,PS3,Misc,Sony Computer Entertainment,E10,SCEE London Studio,6.5
3520,3521,2014 FIFA World Cup Brazil,PS3,Sports,EA Sports,E,EA Canada,7.9
3522,3523,London 2012: The Official Video Game of the Olympic Games,PS3,Sports,Sega,E,Sega Studios Australia,6.2
3525,3526,Castlevania: Lords of Shadow,X360,Action,Konami,M,Mercury Steam,7.9
3528,3529,Darkstone,PS,Role-Playing,Take-Two Interactive,T,Delphine Software International,6.7
3535,3536,Ratatouille,PSP,Platform,THQ,E,Locomotive Games,6.6
3536,3537,Madagascar,GC,Platform,Activision,E10,Toys for Bob,6.8
3537,3538,NHL 10,X360,Sports,EA Sports,E10,EA Canada,9.1
3542,3543,Legend of Legaia,PS,Role-Playing,Sony Computer Entertainment,E,Contrail,8.1
3546,3547,The Sims: Bustin' Out,GC,Simulation,Electronic Arts,T,Maxis,7.9
3549,3550,Fist of the North Star: Ken's Rage,PS3,Action,Tecmo Koei,M,Tecmo Koei Games,4.8
3554,3555,Suikoden IV,PS2,Role-Playing,Konami,T,Konami Computer Entertainment Tokyo,6.3
3555,3556,Gods Eater Burst,PSP,Action,D3 Publisher,T,Shift,7.1
3556,3557,Disney's Kim Possible 2: Drakken's Demise,GBA,Platform,Disney Interactive Studios,E,Artificial Mind and Movement,8.3
3562,3563,Shaun White Snowboarding,PS3,Sports,Ubisoft,T,Ubisoft Montreal,6.0
3567,3568,Dead or Alive 5,PS3,Fighting,Tecmo Koei,M,Team Ninja,7.6
3569,3570,Radiata Stories,PS2,Role-Playing,Square Enix,T,tri-Ace,7.7
3571,3572,MX vs. ATV Untamed,PSP,Racing,THQ,E,Rainbow Studios,5.6
3573,3574,Transformers: The Game,PSP,Action,Activision,E10,Savage Entertainment,4.3
3574,3575,F-Zero GX,GC,Racing,Nintendo,T,Amusement Vision,8.4
3575,3576,Disney's Chicken Little,PS2,Platform,Buena Vista,E10,Avalanche Software,6.3
3576,3577,Tiger Woods PGA Tour 09,PS3,Sports,EA Sports,E,EA Tiburon,8.5
3577,3578,Scene It? Box Office Smash,X360,Misc,Microsoft Game Studios,T,Krome Studios / Screenlife Games,7.6
3586,3587,Wall-E,PSP,Platform,THQ,E,Heavy Iron Studios,7.7
3588,3589,Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo,E,Intelligent Systems,8.8
3589,3590,Centipede,PS,Shooter,Hasbro Interactive,E,Leaping Lizard Software Inc.,5.9
3592,3593,007: Quantum of Solace,Wii,Shooter,Activision,T,Beenox,5.6
3594,3595,Champions: Return to Arms,PS2,Role-Playing,Sony Online Entertainment,T,Snowblind Studios,7.7
3597,3598,Harry Potter and the Goblet of Fire,PS2,Adventure,Electronic Arts,E10,Electronic Arts,6.7
3605,3606,Tiger Woods PGA Tour 10,X360,Sports,EA Sports,E,EA Tiburon,8.3
3606,3607,LEGO City Undercover,NS,Platform,Warner Bros. Interactive Entertainment,E10,TT Fusion,8.0
3607,3608,Star Ocean: First Departure,PSP,Role-Playing,Square Enix,T,TOSE Software,7.5
3608,3609,Far Cry 4,PC,Shooter,Ubisoft,M,Ubisoft Montreal,8.5
3612,3613,Drawn to Life: The Next Chapter,DS,Adventure,THQ,E,5TH Cell,7.4
3614,3615,Crash Bandicoot Purple: Ripto's Rampage,GBA,Platform,Vivendi Games,E,Vicarious Visions,6.7
3617,3618,Shin Megami Tensei: Persona 3 Portable,PSP,Role-Playing,Atlus,M,Atlus Co.,8.9
3619,3620,Rayman 3D,3DS,Platform,Ubisoft,E,Ubisoft,6.3
3620,3621,Max Payne 2: The Fall of Max Payne,XB,Shooter,Rockstar Games,M,Remedy Entertainment,8.6
3621,3622,Sengoku Basara: Samurai Heroes,PS3,Action,Capcom,T,Capcom,6.1
3624,3625,New Play Control! Pikmin,Wii,Strategy,Nintendo,E,Nintendo EAD,7.7
3626,3627,Dragon Ball: Raging Blast 2,X360,Fighting,Namco Bandai,T,Spike,6.0
3627,3628,Real Heroes: Firefighter,Wii,Action,Conspiracy Entertainment,E10,Epicenter Studios,7.4
3630,3631,X2: Wolverine's Revenge,PS2,Action,Activision,T,GenePool,5.8
3632,3633,Castlevania,N64,Platform,Konami,T,KCEK,7.6
3633,3634,Phantasy Star Portable,PSP,Role-Playing,Sega,T,Alfa System,7.1
3634,3635,Rayman 2: The Great Escape,N64,Platform,Ubisoft,E,Ubisoft,9.0
3637,3638,Dead Island: Riptide,PS3,Action,Deep Silver,M,Techland,6.6
3640,3641,Just Dance 2014,WiiU,Music,Ubisoft,E10,Ubisoft Paris,7.5
3644,3645,Dungeon Siege III,PC,Role-Playing,Square Enix,T,Obsidian Entertainment,7.3
3646,3647,Rock Band 3,Wii,Misc,MTV Games,T,Harmonix Music Systems,9.2
3649,3650,Konami Collector's Series: Arcade Advanced,GBA,Misc,Konami,E,KCEA,8.0
3650,3651,Lost Planet: Extreme Condition,PS3,Shooter,Capcom,T,Capcom,6.3
3655,3656,Crash of the Titans,PSP,Action,Sierra Entertainment,E10,SuperVillain Studios,6.3
3658,3659,X-Men Legends II: Rise of Apocalypse,PS2,Role-Playing,Activision,T,Raven Software,8.5
3659,3660,White Knight Chronicles II,PS3,Role-Playing,D3 Publisher,T,Level 5,5.4
3662,3663,LEGO Star Wars II: The Original Trilogy,X360,Action,LucasArts,E10,Traveller's Tales,8.2
3668,3669,The Sims 3: Generations,PC,Simulation,Electronic Arts,T,The Sims Studio,6.5
3669,3670,Sim Theme Park,PS,Strategy,Electronic Arts,E,Climax Group,8.5
3670,3671,Iron Man,PSP,Action,Sega,T,Artificial Mind and Movement,5.0
3672,3673,Wolfenstein,PS3,Shooter,Activision,M,Raven Software,7.2
3674,3675,The Lord of the Rings: Conquest,X360,Action,Electronic Arts,T,Pandemic Studios,5.9
3675,3676,Dragon Age II,PC,Role-Playing,Electronic Arts,M,BioWare Corp.,7.9
3677,3678,LEGO The Incredibles,NS,Action,Warner Bros. Interactive Entertainment,E10,Traveller's Tales,6.5
3678,3679,Assassin's Creed IV: Black Flag,PC,Action-Adventure,Ubisoft,M,Ubisoft Montreal,8.5
3680,3681,Condemned 2: Bloodshot,X360,Adventure,Sega,M,Monolith Productions,8.2
3681,3682,Dogz,GBA,Simulation,Ubisoft,E,MTO,4.1
3682,3683,A Bug's Life,N64,Platform,Activision,E,Traveller's Tales,6.1
3684,3685,Worldwide Soccer Manager 2006,PC,Sports,Sega,E,Sports Interactive,9.0
3686,3687,LEGO Pirates of the Caribbean: The Video Game,3DS,Action,Disney Interactive Studios,E10,TT Fusion,7.0
3688,3689,XCOM: Enemy Unknown,X360,Sports,2K Games,M,Firaxis Games,8.8
3692,3693,Ape Escape 2,PS2,Platform,Ubisoft,E,SCE Japan Studio,8.0
3694,3695,Dead Rising 2,PC,Action,Capcom,M,Blue Castle Games,7.7
3695,3696,Shin Megami Tensei: Persona 3 FES,PS2,Role-Playing,Atlus,M,Atlus,8.7
3699,3700,Okami,PS2,Adventure,Capcom,T,Clover Studio,9.4
3701,3702,Transformers: Revenge of the Fallen,X360,Action,Activision,T,Luxoflux Corp.,6.1
3703,3704,Tony Hawk's Project 8,PS3,Sports,Activision,T,Neversoft Entertainment,7.9
3705,3706,NieR,PS3,Role-Playing,Square Enix,M,Cavia Inc.,6.6
3707,3708,Namco Museum,GC,Misc,Namco,E,Mass Media,5.3
3708,3709,Test Drive Unlimited 2,PS3,Racing,Atari,T,Eden Studios,6.9
3710,3711,Ghostbusters: The Video Game,X360,Action,Atari,T,Terminal Reality,7.7
3714,3715,Metal Gear Solid 2: Substance,XB,Action,Konami,M,Konami Computer Entertainment Japan,8.7
3719,3720,Wild ARMs 3,PS2,Role-Playing,Sony Computer Entertainment,T,Media.Vision,7.6
3721,3722,Madden NFL 07,GC,Sports,EA Sports,E,EA Tiburon,8.5
3725,3726,Donkey Kong Barrel Blast,Wii,Racing,Nintendo,E,Paon Corporation,4.8
3726,3727,Jak and Daxter: The Lost Frontier,PSP,Platform,Sony Computer Entertainment,E10,High Impact Games,7.5
3731,3732,Red Steel 2,Wii,Shooter,Ubisoft,T,Ubisoft Paris,7.8
3732,3733,Disney Universe,PS3,Action,Disney Interactive Studios,E10,Disney Interactive Studios,7.4
3733,3734,Viewtiful Joe,GC,Action,Capcom,T,Clover Studio,9.4
3734,3735,Beetle Adventure Racing!,N64,Racing,Electronic Arts,E,"Paradigm Entertainment, Electronic Arts",9.2
3739,3740,DJ Hero 2,Wii,Misc,Activision,T,FreeStyle Games,8.7
3744,3745,Start the Party!,PS3,Misc,Sony Computer Entertainment,E,Supermassive Games Ltd.,6.1
3751,3752,Prince of Persia: The Forgotten Sands,X360,Action,Ubisoft,T,Ubisoft Montreal,7.5
3755,3756,Tomb Raider III: Adventures of Lara Croft,PC,Adventure,Eidos Interactive,T,Core Design Ltd.,7.3
3756,3757,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,Adventure,Capcom,T,Capcom,7.9
3763,3764,Wall-E,X360,Platform,THQ,E,Heavy Iron Studios,5.3
3766,3767,NBA 2K9,PS3,Sports,2K Sports,E,Visual Concepts,8.3
3767,3768,Dragon Ball Z: Ultimate Tenkaichi,PS3,Fighting,Namco Bandai,T,Spike,5.0
3768,3769,Wet,PS3,Shooter,Bethesda Softworks,M,Artificial Mind and Movement,6.9
3772,3773,Fire Emblem: Shadow Dragon,DS,Strategy,Nintendo,E10,Intelligent Systems,8.2
3773,3774,Metroid Prime: Trilogy,Wii,Shooter,Nintendo,T,Retro Studios,9.0
3775,3776,Vanquish,PS3,Shooter,Sega,M,PlatinumGames,8.5
3776,3777,Samurai Warriors 2,PS2,Action,KOEI,T,Omega Force,5.6
3777,3778,Advance Wars: Days of Ruin,DS,Strategy,Nintendo,E10,Intelligent Systems,8.4
3783,3784,Sacred 2: Fallen Angel,PS3,Role-Playing,CDV Software Entertainment,M,Ascaron Entertainment,7.1
3791,3792,Tony Hawk: RIDE,X360,Sports,Activision,E10,Robomodo / Buzz Monkey Software,4.4
3793,3794,Half-Life 2,XB,Shooter,Electronic Arts,M,Valve Software,8.9
3795,3796,Machinarium,PC,Adventure,Amanita Design,E,Amanita Design,8.0
3799,3800,Pro Evolution Soccer 2011,X360,Sports,Konami,E,Konami,6.0
3802,3803,Final Fantasy IV Advance,GBA,Role-Playing,Square Enix,E10,Square Enix,8.6
3806,3807,Harry Potter and the Goblet of Fire,GBA,Adventure,Electronic Arts,E10,Magic Pockets,6.0
3808,3809,Dragon Ball Z: Buu's Fury,GBA,Action,Atari,E,Webfoot Technologies,5.9
3809,3810,Madden NFL 2002,GC,Sports,EA Sports,E,EA Sports,8.6
3810,3811,James Cameron's Avatar: The Game,PSP,Action,Ubisoft,T,Ubisoft Montreal,3.9
